caregiver_id,empathy_score,activity_score,patience_score,independence_score
775,85.6,70.5,69.8,66.6
776,59.4,75.4,92.8,76.4
777,59.1,66.5,58.3,66.4
778,76.8,26.3,63.1,49.3
779,65.5,38.2,74.5,60.0
780,67.1,46.4,83.2,88.1
781,62.7,49.0,81.3,47.8
782,67.9,73.3,52.5,81.4
783,71.1,52.6,65.5,54.2
784,44.0,86.9,72.7,63.9
785,84.3,41.6,80.3,49.6
786,82.7,21.7,67.0,42.9
787,76.5,68.5,67.7,40.8
788,68.3,43.9,79.9,47.6
789,30.0,53.3,54.9,22.4
790,51.4,62.0,86.5,61.3
791,60.9,68.2,65.1,41.1
792,52.7,28.5,66.7,58.2
793,68.6,52.5,60.1,67.2
794,50.2,74.0,60.2,40.0
795,48.0,51.0,80.7,65.3
796,84.7,69.4,59.8,48.4
797,58.3,84.0,61.0,72.9
798,83.4,92.9,66.5,69.2
799,100.0,48.9,49.8,20.0
800,80.7,26.1,66.1,63.7
801,72.8,67.7,74.9,80.6
802,55.7,47.8,58.1,71.6
803,83.5,68.1,90.4,31.4
804,95.0,87.4,78.6,90.6
805,45.2,50.6,65.0,69.4
806,54.2,73.6,88.6,68.9
807,74.3,42.2,58.0,80.0
808,81.7,59.3,65.6,20.0
809,53.9,94.4,54.4,58.8
810,85.1,37.4,70.4,73.8
811,70.2,100.0,46.6,76.2
812,67.4,73.9,81.5,40.3
813,73.4,26.6,79.4,61.0
814,79.6,79.0,79.0,58.0
815,56.8,47.2,91.2,83.7
816,66.4,60.8,58.1,78.5
817,80.0,94.9,56.1,47.4
818,73.5,71.6,73.6,37.5
819,83.2,73.0,56.4,82.1
820,87.6,62.4,67.6,66.1
821,57.1,60.5,48.0,72.5
822,46.6,87.1,73.0,50.8
823,60.6,54.8,83.6,20.0
824,89.2,66.1,52.9,33.5
825,95.1,43.0,56.0,77.7
826,75.1,43.1,76.4,34.5
827,86.5,79.1,73.8,62.2
828,96.4,60.0,58.8,64.0
829,100.0,41.7,72.7,63.3
830,69.2,42.3,88.1,100.0
831,72.9,43.7,56.0,60.2
832,86.6,68.6,67.4,43.2
833,53.6,75.0,79.2,24.1
834,93.8,70.3,93.8,28.2
835,49.5,57.3,83.0,90.9
836,80.6,55.6,57.5,79.6
837,55.5,89.3,68.8,86.8
838,80.2,57.5,61.2,48.2
839,76.4,61.4,63.5,51.7
840,71.2,21.7,80.1,35.4
841,52.7,29.6,49.9,27.9
842,59.4,95.2,68.3,58.6
843,76.0,62.4,72.9,31.1
844,91.8,92.5,46.4,34.5
845,65.8,42.6,80.7,40.4
846,100.0,81.4,78.0,75.5
847,86.6,49.8,60.0,56.6
848,82.9,62.5,47.7,38.9
849,68.9,58.6,95.1,27.3
850,77.6,86.8,99.5,46.9
851,77.4,70.3,71.3,53.0
852,76.5,20.0,76.4,57.5
853,66.7,96.8,59.3,46.9
854,99.9,45.0,66.4,52.1
855,82.6,63.7,55.1,44.4
856,60.9,58.6,75.7,63.4
857,43.4,79.2,72.8,82.7
858,76.7,79.8,77.0,81.9
859,77.8,58.2,99.5,72.8
860,78.6,37.0,53.5,60.9
861,72.2,48.9,71.5,86.8
862,80.4,39.5,73.3,38.9
863,64.2,52.6,66.5,29.9
864,68.1,49.9,36.2,96.1
865,86.3,53.2,76.4,31.6
866,95.4,94.2,70.9,75.5
867,72.6,35.9,62.5,57.6
868,63.2,56.1,74.3,53.4
869,70.8,40.9,67.6,29.3
870,84.7,22.1,82.0,82.7
871,65.5,20.0,72.7,53.7
872,54.8,50.7,92.2,68.3
873,56.1,31.2,66.7,50.7
874,77.4,50.4,73.5,93.7
875,82.2,59.1,66.8,47.9
876,87.7,48.7,72.7,56.0
877,62.5,35.3,75.3,53.8
878,77.5,50.4,82.8,37.5
879,95.7,28.5,80.6,64.5
880,58.1,67.6,90.0,20.0
881,77.5,20.0,56.6,87.6
882,61.3,38.9,65.8,96.4
883,42.5,41.1,91.8,92.2
884,68.4,37.7,95.8,86.9
885,80.2,45.4,68.4,51.8
886,75.0,86.1,85.2,33.5
887,90.6,65.6,79.6,84.3
888,53.3,59.4,65.0,23.6
889,75.2,100.0,53.3,54.4
890,79.6,62.2,73.2,29.0
891,73.5,46.4,41.1,78.9
892,84.4,60.9,77.3,76.5
893,73.4,76.3,67.0,81.2
894,74.8,63.5,57.0,60.7
895,57.5,48.5,62.4,33.7
896,100.0,84.0,89.6,30.5
897,71.1,36.7,65.5,36.6
898,88.6,52.9,82.6,67.1
899,100.0,33.4,88.9,77.9
900,55.4,78.1,72.2,50.5
901,57.6,47.1,96.0,55.0
902,81.7,45.8,59.6,76.6
903,49.8,52.5,68.6,57.2
904,67.3,67.1,74.9,69.7
905,55.2,54.9,87.3,72.9
906,49.4,66.3,45.3,55.9
907,98.5,42.9,67.0,70.3
908,46.9,48.6,75.4,42.3
909,66.5,73.4,77.3,60.3
910,64.9,66.7,71.5,64.2
911,62.5,56.7,59.5,54.3
912,57.8,39.9,69.7,59.3
913,81.7,52.2,79.5,66.0
914,76.7,45.1,71.6,62.3
915,70.1,22.4,73.3,99.3
916,64.6,46.9,80.7,61.2
917,87.9,37.4,81.0,66.8
918,67.9,66.1,79.8,72.4
919,52.9,74.8,65.8,56.5
920,71.1,57.3,91.3,53.3
921,53.2,52.9,72.7,79.6
922,79.0,44.7,100.0,60.3
923,89.1,57.3,76.2,71.8
924,88.3,79.0,83.5,48.7
925,61.4,66.0,88.2,50.5
926,86.0,86.1,62.8,38.3
927,67.9,65.5,65.1,82.0
928,76.4,60.7,49.4,28.7
929,74.2,21.6,88.4,51.8
930,100.0,100.0,66.8,52.9
931,84.9,90.7,50.1,20.0
932,60.7,70.5,76.6,76.4
933,52.0,20.0,80.1,38.4
934,39.7,62.6,84.1,52.6
935,63.1,57.1,71.0,28.0
936,59.3,69.4,78.5,58.4
937,55.1,56.7,42.1,58.6
938,91.4,33.5,62.0,61.6
939,88.8,51.9,65.5,20.0
940,71.6,96.8,80.3,54.6
941,74.8,59.8,60.0,71.5
942,73.4,60.3,60.5,81.1
943,80.0,50.0,80.2,45.0
944,58.3,46.3,53.3,64.4
945,42.5,37.9,50.5,53.3
946,67.7,54.1,62.9,31.6
947,77.0,50.1,71.2,37.3
948,72.7,83.5,84.0,46.8
949,73.9,55.7,73.1,48.5
950,67.5,63.8,61.1,34.7
951,49.2,31.2,56.0,58.2
952,56.6,69.2,76.6,20.0
953,79.8,74.6,60.3,63.4
954,57.2,61.8,57.8,20.0
955,64.3,57.8,63.4,31.3
956,64.0,64.8,66.1,58.7
957,59.9,81.1,61.3,64.8
958,87.7,68.7,74.6,44.4
959,85.5,34.4,59.8,47.0
960,88.6,66.8,64.6,48.8
961,60.8,47.2,86.3,27.6
962,94.1,74.9,80.5,45.7
963,67.8,34.2,63.5,64.9
964,89.4,40.1,71.0,52.0
965,49.1,70.6,61.1,51.1
966,63.2,45.8,69.7,50.7
967,64.4,46.9,79.2,88.1
968,72.1,77.9,60.3,58.2
969,53.5,33.4,60.9,78.8
970,84.3,64.4,53.0,51.1
971,74.5,63.2,45.3,37.2
972,69.0,69.7,48.2,51.8
973,72.1,75.3,85.3,66.7
974,58.0,25.7,72.3,75.0
975,90.9,72.8,80.6,62.6
976,61.7,57.7,90.6,36.1
977,94.2,54.2,88.9,26.9
978,78.8,46.7,53.6,59.4
979,85.1,44.8,55.0,53.2
980,68.7,69.9,86.8,53.8
981,97.8,64.0,62.4,22.8
982,66.1,53.9,80.5,64.2
983,52.3,63.1,85.1,85.6
984,83.3,73.7,72.9,62.8
985,88.7,36.0,71.2,39.5
986,75.7,82.1,68.2,20.0
987,63.8,76.4,75.5,63.6
988,65.8,37.0,79.2,38.3
989,100.0,70.3,66.0,42.8
990,68.6,55.7,81.6,58.7
991,59.0,94.0,74.4,70.4
992,60.9,66.5,79.1,20.0
993,100.0,83.2,65.0,33.0
994,75.2,61.6,79.7,58.8
995,77.6,86.1,76.6,34.0
996,90.4,89.5,100.0,32.5
997,73.6,22.5,77.2,44.0
998,98.9,46.1,46.3,45.6
999,40.4,73.5,49.0,55.6
1000,38.8,54.2,93.5,62.2
